South Ndebele,South Ndebele,nr,nr,nbl,nbl,nbl
Occitan,Occitan,oc,oc,oci,oci,oci
Ojibwa,Ojibwa,oj,oj,oji,oji,oji
"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic","Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",cu,cu,chu,chu,chu
Oromo,Oromo,om,om,orm,orm,orm
Oriya,Oriya,or,or,ori,ori,ori
Ossetian,Ossetian,os,os,oss,oss,oss
Ossetic,Ossetian,os,os,oss,oss,oss
Panjabi,Punjabi,pa,pa,pan,pan,pan
Punjabi,Punjabi,pa,pa,pan,pan,pan
Pali,Pali,pi,pi,pli,pli,pli
Persian,Persian,fa,fa,fas,per,fas
Polish,Polish,pl,pl,pol,pol,pol
Pashto,Pashto,ps,ps,pus,pus,pus
Pushto,Pashto,ps,ps,pus,pus,pus
Portuguese,Portuguese,pt,pt,por,por,por
Quechua,Quechua,qu,qu,que,que,que
Romansh,Romansh,rm,rm,roh,roh,roh
Rundi,Rundi,rn,rn,run,run,run
Romanian,Romanian,ro,ro,ron,rum,ron
Moldavian,Romanian,ro,ro,ron,rum,ron
Moldovan,Romanian,ro,ro,ron,rum,ron
Russian,Russian,ru,ru,rus,rus,rus
Sanskrit,Sanskrit,sa,sa,san,san,san
Sardinian,Sardinian,sc,sc,srd,srd,srd
Sindhi,Sindhi,sd,sd,snd,snd,snd
Northern Sami,Northern Sami,se,se,sme,sme,sme
Samoan,Samoan,sm,sm,smo,smo,smo
Sango,Sango,sg,sg,sag,sag,sag
Serbian,Serbo-Croatian,sh,sr,srp,srp,srp
Scottish Gaelic,Scottish Gaelic,gd,gd,gla,gla,gla
Shona,Shona,sn,sn,sna,sna,sna
Sinhala,Sinhalese,si,si,sin,sin,sin
Sinhalese,Sinhalese,si,si,sin,sin,sin
Slovak,Slovak,sk,sk,slk,slo,slk
Slovene,Slovene,sl,sl,slv,slv,slv
Slovenian,Slovene,sl,sl,slv,slv,slv
Somali,Somali,so,so,som,som,som
Southern Sotho,Southern Sotho,st,st,sot,sot,sot
Spanish,Spanish,es,es,spa,spa,spa
Castilian,Spanish,es,es,spa,spa,spa
Sundanese,Sundanese,su,su,sun,sun,sun
Swahili,Swahili,sw,sw,swa,swa,swa
Swati,Swati,ss,ss,ssw,ssw,ssw
Swedish,Swedish,sv,sv,swe,swe,swe
Tamil,Tamil,ta,ta,tam,tam,tam
Telugu,Telugu,te,te,tel,tel,tel
Tajik,Tajik,tg,tg,tgk,tgk,tgk
Thai,Thai,th,th,tha,tha,tha
Tigrinya,Tigrinya,ti,ti,tir,tir,tir
Tibetan,Tibetan,bo,bo,bod,tib,bod
Turkmen,Turkmen,tk,tk,tuk,tuk,tuk
Tagalog,Tagalog,tl,tl,tgl,tgl,tgl
Tswana,Tswana,tn,tn,tsn,tsn,tsn
Tonga,Tonga,to,to,ton,ton,ton
Turkish,Turkish,tr,tr,tur,tur,tur
Tsonga,Tsonga,ts,ts,tso,tso,tso
Tatar,Tatar,tt,tt,tat,tat,tat
Twi,Twi,tw,tw,twi,twi,twi
Tahitian,Tahitian,ty,ty,tah,tah,tah
Uighur,Uyghur,ug,ug,uig,uig,uig
Uyghur,Uyghur,ug,ug,uig,uig,uig
Ukrainian,Ukrainian,uk,uk,ukr,ukr,ukr
Urdu,Urdu,ur,ur,urd,urd,urd
Uzbek,Uzbek,uz,uz,uzb,uzb,uzb
Venda,Venda,ve,ve,ven,ven,ven
Vietnamese,Vietnamese,vi,vi,vie,vie,vie
Volapük,Volapük,vo,vo,vol,vol,vol
Walloon,Walloon,wa,wa,wln,wln,wln
Welsh,Welsh,cy,cy,cym,wel,cym
Wolof,Wolof,wo,wo,wol,wol,wol
West Flemish,West Flemish,vls,,,,
Western Frisian,Western Frisian,fy,fy,fry,fry,fry
Xhosa,Xhosa,xh,xh,xho,xho,xho
Yiddish,Yiddish,yi,yi,yid,yid,yid
Yoruba,Yoruba,yo,yo,yor,yor,yor
Zhuang,Zhuang,za,za,zha,zha,zha
Chuang,Zhuang,za,za,zha,zha,zha
Zulu,Zulu,zu,zu,zul,zul,zul
